Name	Link
Laptop Acer Gaming Nitro 5 Eagle AN515-57-720A NH.QEQSV.004 (Core™ i7-11800H | 8GB | 512GB | RTX 3050 Ti 4GB | 15.6 inch FHD | Win 11 | Đen)	https://www.anphatpc.com.vn/laptop-acer-gaming-nitro-5-eagle-an515-57-720a-nh.qeqsv.004-core-i7-11800h-8gb-512gb-rtx-3050-ti-4gb-15.6-inch-fhd-win-11-den_id39292.html
Laptop LG Gram 2021 16Z90P-G.AH73A5 (Core i7-1165G7 | 16GB | 256GB | Intel Iris Xe | 16.0 inch WQXGA | Win 10 | Bạc)	https://www.anphatpc.com.vn/laptop-lg-gram-2021-16z90p-g.ah73a5-core-i7-1165g7-16gb-256gb-intel-iris-xe-16.0-inch-wqxga-win-10-bac_id37655.html
Laptop Asus ROG Strix G15 G513IC-HN002T (Ryzen 7-4800H | 8GB | 512GB | RTX 3050 4GB | 15.6 inch FHD | Win 10 | Xám)	https://www.anphatpc.com.vn/laptop-asus-rog-strix-g15-g513ic-hn002t-ryzen-7-4800h-8gb-512gb-rtx-3050-4gb-15.6-inch-fhd-win-10-xam_id39084.html
Laptop Lenovo V15 G2 ITL 82KB00CHVN (Core™ i5-1135G7 | 8GB | 256GB | Intel Iris Xe | 15.6 inch FHD | FreeDos | Đen)	https://www.anphatpc.com.vn/laptop-lenovo-v15-g2-itl-82kb00chvn-core-i5-1135g7-8gb-256gb-intel-iris-xe-15.6-inch-fhd-freedos-den_id39282.html
Laptop Asus TUF Gaming A15 FA506QM-HN016T (Ryzen 7-5800H | 16GB | 512GB | RTX 3060 6GB | 15.6 inch FHD | Win 10 | Eclipse Gray)	https://www.anphatpc.com.vn/laptop-asus-tuf-gaming-a15-fa506qm-hn016t-ryzen-7-5800h-16gb-512gb-rtx-3060-6gb-15.6-inch-fhd-win-10-eclipse-gray_id38977.html
Laptop Acer Swift X SFX14-41G-R61A NX.AU3SV.001 (Ryzen 5-5600U | 16GB | 1TB | RTX 3050Ti 4GB | 14.0 inch FHD | Win 10 | Safari Gold)	https://www.anphatpc.com.vn/laptop-acer-swift-x-sfx14-41g-r61a-nx.au3sv.001-ryzen-5-5600u-16gb-1tb-rtx-3050ti-4gb-14.0-inch-fhd-win-10-safari-gold_id38742.html
Laptop Acer Predator Helios 300 PH315-54-75YD NH.QC2SV.002 (Core i7-11800H | 16GB | 512GB | RTX 3060 6GB | 15.6 inch QHD | Win 10 | Đen)	https://www.anphatpc.com.vn/laptop-acer-predator-helios-300-ph315-54-75yd-nh.qc2sv.002-core-i7-11800h-16gb-512gb-rtx-3060-6gb-15.6-inch-qhd-win-10-den_id39035.html
Laptop Acer Nitro 5 Eagle AN515-57-5831 NH.QDGSV.003 (Core i5-11400H | 8GB | 512GB | RTX 3060 6GB | 15.6 inch FHD | Win 10 | Đen)	https://www.anphatpc.com.vn/laptop-acer-nitro-5-an515-57-5831-nh.qdgsv.003-core-i5-11400h-8gb-512gb-rtx-3060-6gb-15.6-inch-fhd-win-10-den_id38374.html
Laptop Dell Vostro 3400 70253900 (Core™ i5-1135G7 | 8GB | 256GB | Intel Iris Xe | 14.0-inch FHD | Win 10 | Office)	https://www.anphatpc.com.vn/laptop-dell-vostro-3400-70253900-core-i5-1135g7-8gb-256gb-intel-iris-xe-14.0-inch-fhd-win-10-office_id39197.html
Laptop Lenovo Ideapad 3 81WH (Pentium® Silver N5030 | 4GB | 128GB | Intel UHD | 14 inch HD | Win 10 | Hàng nhập khẩu chính hãng)	https://www.anphatpc.com.vn/laptop-lenovo-ideapad-3-81wh-pentium-silver-n5030-4gb-128gb-intel-uhd-14-inch-hd-win-10-hang-nhap-khau-chinh-hang_id39233.html
