Name	Link
LAPTOP ASUS ZENBOOK UX325EA-KG363T (I5 1135G7/8GB RAM/512GB SSD/13.3 FHD/WIN10/CÁP USB TO LAN,USB C-AUDIO/XÁM)	https://www.hanoicomputer.vn/laptop-asus-zenbook-ux325ea-kg363t-xam
LAPTOP ASUS GAMING ROG FLOW 13 GV301QC-K6029T (R9 5980HS/32GB RAM/1TB SSD/13.4 TOUCH /RTX3050 4GB+RTX 3080 16GB CẮM NGOÀI/WIN10/BÚT/TÚI/ĐEN)	https://www.hanoicomputer.vn/laptop-asus-gaming-rog-flow-13-gv301qc-k6029t-win10-but-tui-den
LAPTOP LENOVO THINKPAD X1 GEN 9 (20XW0076VN) (I5 1135G7/8GB RAM/512GB SSD/14 WUXGA/WIN PRO/ĐEN)	https://www.hanoicomputer.vn/laptop-lenovo-thinkpad-x1-gen-9-20xw0076vn-pro-den
LAPTOP LENOVO LEGION 7 16ACHG6 (82N60039VN) (R9 5900HX/32GB RAM/1TB SSD/16 QWXGA 165HZ/RTX3080 16G/WIN/XÁM)	https://www.hanoicomputer.vn/laptop-lenovo-legion-7-16achg6-82n60039vn-xam
LAPTOP ACER GAMING PREDATOR TRITON 300 (PT315-53-71DJ) (NH.QDSSV.001) (I7 11800H/16GB RAM/512GB SSD/RTX 3070 8G/15.6 INCH QHD 165HZ/WIN10/ĐEN) (2021)	https://www.hanoicomputer.vn/laptop-acer-gaming-predator-triton-300-pt315-53-71dj-nhqdssv001-den-2021
LAPTOP DELL VOSTRO 5510 (70253901) (I5 11300H/8GB RAM/512GB SSD/15.6 INCH FHD /WIN10+OFFICE/XÁM) (2021)	https://www.hanoicomputer.vn/laptop-dell-vostro-5510-70253901-xam-2021
LAPTOP DELL VOSTRO 3400 (70253900) (I5 1135G7/8GB RAM/256GB SSD/14.0 INCH FHD/WIN10+OFFICE/ĐEN)	https://www.hanoicomputer.vn/laptop-dell-vostro-3400-70253900-den
LAPTOP DELL INSPIRON 3505 (Y1N1T5) (R5 3500U 8GB RAM/512GB SSD/15.6 INCH FHD/WIN10+OFFICE/ĐEN)	https://www.hanoicomputer.vn/laptop-dell-inspiron-3505-y1n1t5-den
LAPTOP DELL INSPIRON 3505 (Y1N1T3) (R3 3250U 8GB RAM/256GB SSD/15.6 INCH FHD/WIN10+OFFICE/ĐEN)	https://www.hanoicomputer.vn/laptop-dell-inspiron-3505-y1n1t3-den
LAPTOP DELL VOSTRO 15 V3500C (P90F006CBL) (I5 1135G7/8GB RAM/512GB SSD/15.6 INCH FHD/MX330 2GB/WIN10+OFFICE/ĐEN)	https://www.hanoicomputer.vn/laptop-dell-vostro-15-v3500c-p90f006cbl-i5-1135g7-8gb-ram-512gb-ssd-15.6-inch-fhd-mx330-2gb-win10-office-den
LAPTOP DELL INSPIRON N3511A (P112F001ABL) (I3 1115G4/4GB RAM/256GB SSD/15.6 INCH FHD/WIN10+OFFICE/ĐEN)	https://www.hanoicomputer.vn/laptop-dell-inspiron-n3511a-p112f001abl-i3-1115g4-4gb-ram-256gb-ssd-15.6-inch-fhd-win10-office-den
LAPTOP DELL VOSTRO 3500 (I5-1135G7/ 8GB/256GB SSD/ 15.6 INCHFHD/ MX330 2G/UBUNTU/ĐEN) (NK_BẢO HÀNH TẠI HACOM)	https://www.hanoicomputer.vn/laptop-dell-vostro-3500-den
LAPTOP DELL VOSTRO 5415(V4R55500U015W) (R5 5500U 8GB RAM/512GB SSD/14.0 INCH FHD/WIN10+OFFICE HS 19/XÁM) (2021)	https://www.hanoicomputer.vn/laptop-dell-vostro-5415-v4r55500u015w-xam-2021
LAPTOP ACER GAMING PREDATOR HELIOS 300 PH315-54-74RU (NH.QC1SV.002) (I7 11800H/16GB RAM/512GB SSD/RTX3070 8G/15.6 INCH QHD 165HZ/WIN 10/ĐEN) (2021)	https://www.hanoicomputer.vn/laptop-acer-gaming-predator-helios-300-ph315-54-74ru-nhqc1sv002-den-2021
