Name	Link
"Laptop Acer Nitro 5 AN515-52-51LW (NH.Q3LSV.002) (15.6"" FHD/i5-8300H/8GB/1TB HDD/GTX 1050Ti/Linux/2.4 kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-acer-nitro-5-an515-52-51lw-nh-q3lsv-002-den-s1807469.html?sku=1807469
"Laptop Acer Swift 3 SF313-51-56UW (NX.H3ZSV.002) (13.3"" FHD/i5-8250U/8GB/256GB SSD/UHD 620/Win10/1.4 kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-acer-swift-3-sf313-51-56uw-nx-h3zsv-002-i5-8250u-bac-s19030302.html?sku=19030302
"Laptop MSI GP65 Leopard 9SD-224VN (15"" FHD/i7-9750H/16GB/512GB SSD/GTX 1660Ti/Win10/2.3 kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-msi-leopard-gp65-9sd224vn-i79750h-den-s191100021.html?sku=191100021
"Laptop Acer Aspire 3 A315-56-37DV (NX.HS5SV.001) (15.6"" FHD/i3-1005G1/4GB/256GB SSD/Intel UHD/Win10/1.7kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-acer-aspire-3-a3155637dv-nxhs5sv001-i31005g1-den-s200400313.html?sku=200400313
"Laptop MICROSOFT Surface Pro 7 QWT-00001 ( 12.3"" Intel Core i3-1005G1/4GB/128GB SSD/Windows 10/0.8kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-microsoft-surface-pro-7-123-qwt00001-i31005g14gbssd128gb-bac-s200601181.html?sku=200601181
"Laptop MSI GF63 Thin 9SCSR 829VN ( 15.6"" Full HD/ 144Hz/Intel Core i5-9300H/8GB/512GB SSD/NVIDIA GeForce GTX 1650Ti/Windows 10 Home SL 64-bit/1.9kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-msi-thin-gf63-9scsr-829vn-i5-9300h-den-s200900247.html?sku=200900247
"Laptop HP 340s G7 240Q4PA ( 14"" Full HD/Intel Core i3-1005G1/4GB/256GB SSD/Windows 10 Home SL 64-bit/1.4kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-hp-340s-g7-240q4pa-i3-1005g1-xam-s200900874.html?sku=200900874
"Laptop Dell Vostro 14 3405 V4R53500U001W ( 14"" Full HD/AMD Ryzen 5 3500U/4GB/256GB SSD/Windows 10 Home SL 64-bit/1.7kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-dell-vostro-14-3405-3405-v4r53500u001w-amd-ryzen-5-3500u-den-s201100386.html?sku=201100386
"Laptop ACER Swift 3 SF314-510G-57MR NX.A10SV.004 ( 14"" Full HD/Intel Core i5-1135G7/8GB/512GB SSD/Windows 10 Home 64-bit/1.4kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-acer-swift-3-sf314-510g-57mr-nx-a10sv-004-i5-1135g7-vang-s201100389.html?sku=201100389
"Laptop Dell Vostro 14 3405 V4R53500U003W ( 14"" Full HD/AMD Ryzen 5 3500U/8GB/512GB SSD/Windows 10 Home SL 64-bit/1.7kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-dell-vostro-14-3405-3405-v4r53500u003w-amd-ryzen-5-3500u-den-s201104873.html?sku=201104873
