Name	Producer	CPU	RAM	GPU	DISK	DISPLAY	Old Price	New Price
Laptop Acer Gaming Nitro 5 Eagle AN515-57-720A NH.QEQSV.004 (Core™ i7-11800H | 8GB | 512GB | RTX 3050 Ti 4GB | 15.6 inch FHD | Win 11 | Đen)	Laptop Acer	Intel® Core™ i7-11800H	8GB khe rời DDR4 3200MHz	NVIDIA® GeForce RTX 3050 Ti 4GB GDDR6	512GB PCIe NVMe SSD	15.6 inch FHD(1920 x 1080) IPS 144Hz SlimBezel Acer ComfyView LED-backlit	30490000	28990000
Laptop LG Gram 2021 16Z90P-G.AH73A5 (Core i7-1165G7 | 16GB | 256GB | Intel Iris Xe | 16.0 inch WQXGA | Win 10 | Bạc)	Laptop LG	Intel® Core™ i7-1165G7	16GB LPDDR4 Buss 4266MHz	Intel Iris Xe Graphics	256GB PCIe® NVMe™ M.2 SSD	16.0 inch (40.6cm) WQXGA (2560*1600) IPS LCD, DCI-P3 99% (Typical, min 95%)	48990000	43990000
Laptop Asus ROG Strix G15 G513IC-HN002T (Ryzen 7-4800H | 8GB | 512GB | RTX 3050 4GB | 15.6 inch FHD | Win 10 | Xám)	Laptop Asus	AMD Ryzen 7-4800H	8GB DDR4-3200 SO-DIMM	NVIDIA®GeForceRTX™3050 4GB GDDR6	512GB M.2 NVMe™ PCIe® 3.0 SSD	15.6 inch FHD (1920 x 1080) 16:9, 144Hz, ValueIPS-level, 250nits, anti-glare display	27490000	26990000
Laptop Lenovo V15 G2 ITL 82KB00CHVN (Core™ i5-1135G7 | 8GB | 256GB | Intel Iris Xe | 15.6 inch FHD | FreeDos | Đen)	Laptop Lenovo	Intel® Core™ i5-1135G7	8GB Soldered DDR4-3200Mhz	Integrated Intel Iris Xe Graphics	256GB SSD M.2 2242 PCIe 3.0x4 NVMe	15.6 inch FHD (1920x1080) TN 250nits Anti-glare, 45% NTSC	17999000	16890000
Laptop Asus TUF Gaming A15 FA506QM-HN016T (Ryzen 7-5800H | 16GB | 512GB | RTX 3060 6GB | 15.6 inch FHD | Win 10 | Eclipse Gray)	Laptop Asus	AMD Ryzen 7-5800H	16GB(8GB + 8GB) DDR4-3200Mhz SO-DIMM	NVIDIA® GeForce® RTX 3060 6GB GDDR6	512GB M.2 NVMe™ PCIe® 3.0 SSD	15.6 inch (16:9) LED backlit FHD (1920x1080) 144Hz Anti-Glare IPS-level Panel with 45% NTSC	32990000	31690000
Laptop Acer Swift X SFX14-41G-R61A NX.AU3SV.001 (Ryzen 5-5600U | 16GB | 1TB | RTX 3050Ti 4GB | 14.0 inch FHD | Win 10 | Safari Gold)	Laptop Acer	AMD Ryzen 5-5600U	16GB LPDDR4X 2666Mhz onboard	NVIDIA GeForce RTX 3050Ti 4GB GDDR6	1TB PCIe NVMe SSD	14.0 inch FHD(1920 x 1080) IPS panel, 60Hz,100%sRGB	29999000	28990000
Laptop Acer Predator Helios 300 PH315-54-75YD NH.QC2SV.002 (Core i7-11800H | 16GB | 512GB | RTX 3060 6GB | 15.6 inch QHD | Win 10 | Đen)	Laptop Acer	Intel® Core™ i7-11800H	16GB (8GB x 2) DDR4 3200MHz	NVIDIA® GeForce RTX 3060 6GB GDDR6	512GB PCIe NVMe SSD	15.6 inch QHD (2560 x1440) IPS 165Hz SlimBezel, 300 nits, 165Hz,Acer ComfyView LED-backlit TFT LCD	39990000	38990000
Laptop Acer Nitro 5 Eagle AN515-57-5831 NH.QDGSV.003 (Core i5-11400H | 8GB | 512GB | RTX 3060 6GB | 15.6 inch FHD | Win 10 | Đen)	Laptop Acer	Intel® Core i5-11400H	8GB khe rời DDR4 3200MHz	NVIDIA® GeForce® RTX 3060 6GB GDDR6	512GB PCIe NVMe SSD	15.6 inch FHD(1920 x 1080) IPS 144Hz SlimBezel,99%sRGB	32990000	32690000
Laptop Dell Vostro 3400 70253900 (Core™ i5-1135G7 | 8GB | 256GB | Intel Iris Xe | 14.0-inch FHD | Win 10 | Office)	Laptop Dell	Intel® Core™ i5-1135G7	8GB(8GBx1) DDR4 3200Mhz	Intel Iris Xe Graphics	256GB M.2 PCIe NVMe SSD	14.0-inch FHD (1920 x 1080) An ti-glare LED Backlight Non-Touch Narrow Border WVA Display	19490000	18490000
Laptop Lenovo Ideapad 3 81WH (Pentium® Silver N5030 | 4GB | 128GB | Intel UHD | 14 inch HD | Win 10 | Hàng nhập khẩu chính hãng)	Laptop Lenovo	Intel® Pentium® Silver N5030	4GB Soldered DDR4-2400Mhz	Integrated Intel UHD Graphics 600	128GB SSD M.2 2242 PCIe 3.0x2 NVMe	14 inch HD (1366x768) TN 220nits Anti-glare	11990000	9990000
Laptop MSI Bravo 15 B5DD 264VN (Ryzen 7-5800H | 8GB | 512GB | RX 5500M 4GB | 15.6 inch FHD | Win 11 | Đen)	Laptop MSI	AMD Ryzen 7-5800H	8GB DDR4 3200MHz	AMD Radeon RX 5500M 4GB GDDR6	512GB NVMe PCIe Gen3x4 SSD	15.6 inch FHD (1920*1080), 60Hz 45%NTSC IPS-Level	25990000	25390000
