Name	Producer	CPU	RAM	DISK	GPU	DISPLAY	Old Price	New Price
Laptop Asus ZenBook UX325EA-KG363T (i5 1135G7/8GB RAM/512GB SSD/13.3 FHD/Win10/Cáp USB to LAN,USB C-Audio/Xám)	Laptop Asus	Intel Core i5 1135G7	8GB	512GB SSD	Onboard	13.3 FHD	24299000	23999000
Laptop Asus Gaming  ROG Flow 13 GV301QC-K6029T (R9 5980HS/32GB RAM/1TB SSD/13.4 Touch /RTX3050 4GB+RTX 3080 16GB cắm ngoài/Win10/Bút/Túi/Đen)	Laptop Asus	AMD R9 5980HS	32GB	1TB SSD	RTX3050 4GB + RTX 3080 16GB cắm ngoài	13.4 inch FHD cảm ứng	79999000	77999000
Laptop Lenovo Thinkpad X1 Gen 9 (20XW0076VN) (i5 1135G7/8GB RAM/512GB SSD/14 WUXGA/Win Pro/Đen)	Laptop Lenovo	Intel Core i5 1135G7	8GB	512GB SSD	Onboard	14 inch WUXGA	46099000	44999000
Laptop Lenovo Legion 7 16ACHG6 (82N60039VN) (R9 5900HX/32GB RAM/1TB SSD/16 QWXGA 165hz/RTX3080 16G/Win/Xám)	Laptop Lenovo	AMD R9 5900HX	32GB	1TB SSD	Nvidia RTX3080 16G	16 inch QWXGA 165hz	80799000	78999000
Laptop Acer Gaming Predator Triton 300 (PT315-53-71DJ) (NH.QDSSV.001) (i7 11800H/16GB RAM/512GB SSD/RTX 3070 8G/15.6 inch QHD 165Hz/Win10/Đen) (2021)	Laptop Acer	Intel core i7 11800H	16GB	512GB SSD	Nvidia RTX 3070 8G	15.6 inch QHD 165Hz	None	49999000
Laptop Dell Vostro 5510 (70253901) (i5 11300H/8GB RAM/512GB SSD/15.6  inch FHD /Win10+Office/Xám) (2021)	Laptop Dell	Intel Core i5 11300H	8GB	512GB SSD	Onboard	15.6 inch FHD	22999000	22499000
Laptop Dell Vostro 3400 (70253900) (i5 1135G7/8GB RAM/256GB SSD/14.0 inch FHD/Win10+Office/Đen)	Laptop Dell	Intel Core i5 1135G7	8GB	256GB SSD	Onboard	14 inch FHD	19489000	18699000
Laptop Dell Inspiron 3505 (Y1N1T5) (R5 3500U 8GB RAM/512GB SSD/15.6 inch FHD/Win10+Office/Đen)	Laptop Dell	AMD R5 3500U	8GB	512GB SSD	Onboard	15.6 inch FHD	20989000	20489000
Laptop Dell Inspiron 3505 (Y1N1T3) (R3 3250U 8GB RAM/256GB SSD/15.6 inch FHD/Win10+Office/Đen)	Laptop Dell	AMD R3 3250U	8GB	256GB SSD	Onboard	15.6 inch FHD	15989000	15489000
Laptop Dell Vostro 15 V3500C (P90F006CBL) (i5 1135G7/8GB RAM/512Gb SSD/15.6 inch FHD/MX330 2GB/Win10+Office/Đen)	Laptop Dell	Intel Core i5 1135G7	8GB	512GB SSD	Onboard	15.6 inch FHD	22989000	22489000
Laptop Dell Inspiron N3511A  (P112F001ABL) (i3 1115G4/4GB RAM/256GB SSD/15.6 inch FHD/Win10+Office/Đen)	Laptop Dell	Intel Core i3 1115G4	4GB	256GB SSD	Onboard	15.6 inch FHD	16489000	15299000
