Name,Producer,CPU,Ram,Type disk,Capacity,Type GPU,VRAM,Size Display,Relu Display,Price
laptop acer gaming nitro 5 eagle an515-57-720a nh.qeqsv.004 (core™ i7-11800h | 8gb | 512gb | rtx 3050 ti 4gb | 15.6 inch fhd | win 11 | ?en),acer,I7,8,1,512,1,4,15.6,1920x1080,29740000
laptop lg gram 2021 16z90p-g.ah73a5 (core i7-1165g7 | 16gb | 256gb | intel iris xe | 16.0 inch wqxga | win 10 | b?c),lg,I7,16,1,256,0,0,16,2560x1600,46490000
laptop asus rog strix g15 g513ic-hn002t (ryzen 7-4800h | 8gb | 512gb | rtx 3050 4gb | 15.6 inch fhd | win 10 | xám),asus,R7,8,1,512,1,4,15.6,1920x1080,27240000
laptop lenovo v15 g2 itl 82kb00chvn (core™ i5-1135g7 | 8gb | 256gb | intel iris xe | 15.6 inch fhd | freedos | ?en),lenovo,I5,8,1,256,0,0,15.6,1920x1080,17444500
laptop asus tuf gaming a15 fa506qm-hn016t (ryzen 7-5800h | 16gb | 512gb | rtx 3060 6gb | 15.6 inch fhd | win 10 | eclipse gray),asus,R7,16,1,512,1,6,15.6,1920x1080,32340000
laptop acer swift x sfx14-41g-r61a nx.au3sv.001 (ryzen 5-5600u | 16gb | 1tb | rtx 3050ti 4gb | 14.0 inch fhd | win 10 | safari gold),acer,R5,16,1,1024,1,4,14,1920x1080,29494500
laptop acer predator helios 300 ph315-54-75yd nh.qc2sv.002 (core i7-11800h | 16gb | 512gb | rtx 3060 6gb | 15.6 inch qhd | win 10 | ?en),acer,I7,16,1,512,1,6,15.6,2560x1440,39490000
laptop acer nitro 5 eagle an515-57-5831 nh.qdgsv.003 (core i5-11400h | 8gb | 512gb | rtx 3060 6gb | 15.6 inch fhd | win 10 | ?en),acer,I5,8,1,512,1,6,15.6,1920x1080,32840000
laptop dell vostro 3400 70253900 (core™ i5-1135g7 | 8gb | 256gb | intel iris xe | 14.0-inch fhd | win 10 | office),dell,I5,8,1,256,0,0,14,1920x1080,18990000
laptop lenovo ideapad 3 81wh (pentium® silver n5030 | 4gb | 128gb | intel uhd | 14 inch hd | win 10 | hàng nh?p kh?u chính hãng),lenovo,N5030,4,1,128,0,0,14,1366x768,10990000
laptop msi bravo 15 b5dd 264vn (ryzen 7-5800h | 8gb | 512gb | rx 5500m 4gb | 15.6 inch fhd | win 11 | ?en),msi,R7,8,1,512,0,0,15.6,1920x1080,25690000
laptop acer nitro 5 amd an515-45-r9sc nh.qbrsv.001 (ryzen 7-5800h | 8gb | 512gb | rtx tm 3070 8gb | 15.6 inch fhd | win 10 | ?en),acer,R7,8,1,512,1,8,15.6,1920x1080,38445000
laptop dell vostro 3405 v4r53500u003w (ryzen™ 5-3500u | 8gb | 512gb | amd radeon | 14.0 inch fhd | win 10 | ?en),dell,R5,8,1,512,0,0,14,1920x1080,17840000
laptop dell latitude 3420 l3420i5ssd (core i5-1135g7 | 8gb | 256gb | intel iris xe | 14.0 inch hd | fedora | ?en),dell,I5,8,1,256,0,0,14,1366x768,21340000
laptop asus rog zephyrus g14 ga401ihr-hz009t (ryzen™ 7-4800hs | 8gb | 512gb | gtx 1650 4gb | 14-inch fhd | win 10 | xám),asus,R7,8,1,512,1,4,14,1920x1080,27990000
laptop lenovo legion 5 pro 16ach6h 82jq005yvn (ryzen 7-5800h | 16gb | 1tb ssd | rtx 3070 8gb | 16.0 inch wqxga | win 10 | xám),lenovo,R7,16,1,1024,1,8,16,2560x1600,50949500
laptop asus zenbook 13 ux325ea-kg363t (core™ i5-1135g7 | 8gb | 512gb | intel iris xe | 13.3 inch fhd | win 10 | xám),asus,I5,8,1,512,0,0,13.3,1920x1080,24840000
laptop gaming asus rog zephyrus g15 ga503qm-hq158t (ryzen 9-5900hs | 16gb | 512gb | rtx 3060 6gb | 15.6 inch wqhd | win 10 | eclipse gray),gaming,R9,16,1,512,1,6,15.6,2560x1440,45940000
